cancel_reason
"[[0.88927023 0.11072977]
 [0.91573813 0.08426187]
 [0.91573813 0.08426187]
 [0.81488439 0.18511561]
 [0.81488439 0.18511561]
 [0.81488439 0.18511561]
 [0.81488439 0.18511561]
 [0.91573813 0.08426187]
 [0.88927023 0.11072977]
 [0.88927023 0.11072977]
 [0.81488439 0.18511561]
 [0.88927023 0.11072977]
 [0.91573813 0.08426187]
 [0.91573813 0.08426187]
 [0.91573813 0.08426187]
 [0.81488439 0.18511561]
 [0.88006675 0.11993325]
 [0.8893261  0.1106739 ]
 [0.8024721  0.1975279 ]
 [0.91573813 0.08426187]
 [0.91573813 0.08426187]
 [0.88927023 0.11072977]
 [0.81488439 0.18511561]
 [0.88927023 0.11072977]
 [0.81488439 0.18511561]
 [0.91568242 0.08431758]
 [0.88927023 0.11072977]
 [0.88927023 0.11072977]
 [0.91573813 0.08426187]
 [0.91573813 0.08426187]
 [0.91573813 0.08426187]
 [0.91573813 0.08426187]
 [0.88006675 0.11993325]
 [0.81419929 0.18580071]
 [0.84135483 0.15864517]
 [0.91568242 0.08431758]
 [0.91573813 0.08426187]
 [0.88927023 0.11072977]
 [0.88927023 0.11072977]
 [0.88927023 0.11072977]
 [0.88927023 0.11072977]
 [0.84135483 0.15864517]
 [0.81488439 0.18511561]
 [0.81488439 0.18511561]
 [0.91573813 0.08426187]
 [0.8893261  0.1106739 ]
 [0.91573813 0.08426187]
 [0.91573813 0.08426187]
 [0.8893261  0.1106739 ]
 [0.88927023 0.11072977]
 [0.91573813 0.08426187]
 [0.81488439 0.18511561]
 [0.91573813 0.08426187]
 [0.81488439 0.18511561]
 [0.91573813 0.08426187]
 [0.81488439 0.18511561]
 [0.91573813 0.08426187]
 [0.88927023 0.11072977]
 [0.91573813 0.08426187]
 [0.88006675 0.11993325]
 [0.90735517 0.09264483]
 [0.91573813 0.08426187]
 [0.91573813 0.08426187]
 [0.81488439 0.18511561]
 [0.84135483 0.15864517]
 [0.91573813 0.08426187]
 [0.8024721  0.1975279 ]
 [0.91568242 0.08431758]
 [0.91568242 0.08431758]
 [0.91573813 0.08426187]
 [0.91573813 0.08426187]
 [0.81488439 0.18511561]
 [0.84135483 0.15864517]
 [0.91573813 0.08426187]
 [0.91568242 0.08431758]
 [0.81488439 0.18511561]
 [0.91573813 0.08426187]
 [0.81488439 0.18511561]
 [0.91573813 0.08426187]
 [0.81488439 0.18511561]
 [0.91568242 0.08431758]
 [0.81488439 0.18511561]
 [0.84135483 0.15864517]
 [0.91573813 0.08426187]
 [0.88927023 0.11072977]
 [0.81488439 0.18511561]
 [0.81488439 0.18511561]
 [0.88927023 0.11072977]
 [0.81488439 0.18511561]
 [0.81488439 0.18511561]
 [0.88927023 0.11072977]
 [0.91573813 0.08426187]
 [0.88927023 0.11072977]
 [0.90735517 0.09264483]
 [0.90735517 0.09264483]
 [0.91573813 0.08426187]
 [0.90735517 0.09264483]
 [0.90735517 0.09264483]
 [0.84135483 0.15864517]
